S,I,R
9.999e+05,40.782,57.486
9.999e+05,41.018,57.827
9.999e+05,41.255,58.17
9.999e+05,41.494,58.514
9.999e+05,41.734,58.861
9.999e+05,41.975,59.21
9.999e+05,42.218,59.561
9.999e+05,42.462,59.914
9.999e+05,42.708,60.268
9.999e+05,42.955,60.625
9.999e+05,43.203,60.984
9.999e+05,43.453,61.345
9.9989e+05,43.704,61.709
9.9989e+05,43.957,62.074
9.9989e+05,44.211,62.441
9.9989e+05,44.467,62.811
9.9989e+05,44.724,63.182
9.9989e+05,44.983,63.556
9.9989e+05,45.243,63.932
9.9989e+05,45.505,64.31
9.9989e+05,45.768,64.69
9.9989e+05,46.032,65.073
9.9989e+05,46.299,65.458
9.9989e+05,46.566,65.845
9.9989e+05,46.836,66.234
9.9989e+05,47.107,66.625
9.9989e+05,47.379,67.019
9.9988e+05,47.653,67.415
9.9988e+05,47.929,67.813
9.9988e+05,48.206,68.214
9.9988e+05,48.485,68.617
9.9988e+05,48.765,69.022
9.9988e+05,49.047,69.429
9.9988e+05,49.331,69.839
9.9988e+05,49.616,70.251
9.9988e+05,49.903,70.666
9.9988e+05,50.192,71.083
9.9988e+05,50.482,71.503
9.9988e+05,50.774,71.925
9.9988e+05,51.067,72.349
9.9988e+05,51.363,72.776
9.9988e+05,51.66,73.205
9.9987e+05,51.959,73.637
9.9987e+05,52.259,74.071
9.9987e+05,52.561,74.508
9.9987e+05,52.865,74.947
9.9987e+05,53.171,75.389
9.9987e+05,53.478,75.833
9.9987e+05,53.788,76.28
9.9987e+05,54.099,76.73
9.9987e+05,54.412,77.182
9.9987e+05,54.726,77.636
9.9987e+05,55.043,78.094
9.9987e+05,55.361,78.554
9.9987e+05,55.681,79.017
9.9986e+05,56.003,79.482
9.9986e+05,56.327,79.95
9.9986e+05,56.653,80.421
9.9986e+05,56.981,80.894
9.9986e+05,57.31,81.37
9.9986e+05,57.641,81.849
9.9986e+05,57.975,82.331
9.9986e+05,58.31,82.816
9.9986e+05,58.647,83.303
9.9986e+05,58.986,83.793
9.9986e+05,59.328,84.286
9.9986e+05,59.671,84.782
9.9985e+05,60.016,85.281
9.9985e+05,60.363,85.782
9.9985e+05,60.712,86.287
9.9985e+05,61.063,86.794
9.9985e+05,61.416,87.304
9.9985e+05,61.771,87.818
9.9985e+05,62.129,88.334
9.9985e+05,62.488,88.853
9.9985e+05,62.849,89.375
9.9985e+05,63.213,89.901
9.9985e+05,63.578,90.429
9.9985e+05,63.946,90.96
9.9984e+05,64.316,91.495
9.9984e+05,64.688,92.032
9.9984e+05,65.062,92.573
9.9984e+05,65.438,93.117
9.9984e+05,65.816,93.663
9.9984e+05,66.197,94.213
9.9984e+05,66.58,94.767
9.9984e+05,66.965,95.323
9.9984e+05,67.352,95.883
9.9984e+05,67.742,96.446
9.9983e+05,68.133,97.012
9.9983e+05,68.527,97.581
9.9983e+05,68.924,98.154
9.9983e+05,69.322,98.73
9.9983e+05,69.723,99.309
9.9983e+05,70.126,99.892
9.9983e+05,70.532,100.48
9.9983e+05,70.94,101.07
9.9983e+05,71.35,101.66
9.9983e+05,71.763,102.26
9.9982e+05,72.178,102.86
9.9982e+05,72.595,103.46
9.9982e+05,73.015,104.07
9.9982e+05,73.437,104.68
9.9982e+05,73.862,105.29
9.9982e+05,74.289,105.91
9.9982e+05,74.718,106.53
9.9982e+05,75.151,107.15
9.9982e+05,75.585,107.78
9.9982e+05,76.022,108.41
9.9981e+05,76.462,109.05
9.9981e+05,76.904,109.69
9.9981e+05,77.349,110.33
9.9981e+05,77.796,110.98
9.9981e+05,78.246,111.63
9.9981e+05,78.698,112.28
9.9981e+05,79.153,112.94
9.9981e+05,79.611,113.6
9.9981e+05,80.072,114.26
9.998e+05,80.535,114.93
9.998e+05,81,115.61
9.998e+05,81.469,116.28
9.998e+05,81.94,116.97
9.998e+05,82.414,117.65
9.998e+05,82.89,118.34
9.998e+05,83.37,119.03
9.998e+05,83.852,119.73
9.998e+05,84.337,120.43
9.9979e+05,84.824,121.13
9.9979e+05,85.315,121.84
9.9979e+05,85.808,122.56
9.9979e+05,86.304,123.27
9.9979e+05,86.803,123.99
9.9979e+05,87.305,124.72
9.9979e+05,87.81,125.45
9.9979e+05,88.318,126.18
9.9978e+05,88.829,126.92
9.9978e+05,89.342,127.66
9.9978e+05,89.859,128.41
9.9978e+05,90.379,129.16
9.9978e+05,90.901,129.92
9.9978e+05,91.427,130.68
9.9978e+05,91.956,131.44
9.9978e+05,92.487,132.21
9.9977e+05,93.022,132.98
9.9977e+05,93.56,133.76
9.9977e+05,94.101,134.54
9.9977e+05,94.645,135.33
9.9977e+05,95.193,136.12
9.9977e+05,95.743,136.91
9.9977e+05,96.297,137.71
9.9976e+05,96.853,138.52
9.9976e+05,97.414,139.33
9.9976e+05,97.977,140.14
9.9976e+05,98.543,140.96
9.9976e+05,99.113,141.78
9.9976e+05,99.686,142.61
9.9976e+05,100.26,143.45
9.9975e+05,100.84,144.28
9.9975e+05,101.43,145.13
9.9975e+05,102.01,145.97
9.9975e+05,102.6,146.83
9.9975e+05,103.2,147.68
9.9975e+05,103.79,148.55
9.9975e+05,104.39,149.41
9.9974e+05,105,150.29
9.9974e+05,105.6,151.16
9.9974e+05,106.21,152.05
9.9974e+05,106.83,152.93
9.9974e+05,107.45,153.83
9.9974e+05,108.07,154.73
9.9974e+05,108.69,155.63
9.9973e+05,109.32,156.54
9.9973e+05,109.95,157.45
9.9973e+05,110.59,158.37
9.9973e+05,111.23,159.29
9.9973e+05,111.87,160.22
9.9973e+05,112.52,161.16
9.9972e+05,113.17,162.1
9.9972e+05,113.82,163.04
9.9972e+05,114.48,164
9.9972e+05,115.14,164.95
9.9972e+05,115.81,165.91
9.9972e+05,116.48,166.88
9.9971e+05,117.15,167.86
9.9971e+05,117.83,168.84
9.9971e+05,118.51,169.82
9.9971e+05,119.2,170.81
9.9971e+05,119.88,171.81
