S,I,R
9.5064e+05,19888,29473
9.5036e+05,19998,29640
9.5009e+05,20108,29807
9.4981e+05,20218,29975
9.4953e+05,20329,30144
9.4925e+05,20440,30314
9.4896e+05,20552,30484
9.4868e+05,20665,30656
9.4839e+05,20778,30829
9.4811e+05,20892,31002
9.4782e+05,21007,31177
9.4753e+05,21122,31353
9.4723e+05,21237,31529
9.4694e+05,21354,31706
9.4664e+05,21470,31885
9.4635e+05,21588,32064
9.4605e+05,21706,32245
9.4575e+05,21824,32426
9.4545e+05,21944,32608
9.4514e+05,22063,32792
9.4484e+05,22184,32976
9.4453e+05,22305,33162
9.4423e+05,22427,33348
9.4392e+05,22549,33535
9.436e+05,22672,33724
9.4329e+05,22795,33913
9.4298e+05,22920,34104
9.4266e+05,23045,34295
9.4234e+05,23170,34488
9.4202e+05,23296,34681
9.417e+05,23423,34876
9.4138e+05,23550,35072
9.4105e+05,23678,35269
9.4073e+05,23807,35466
9.404e+05,23936,35665
9.4007e+05,24066,35865
9.3974e+05,24197,36066
9.394e+05,24328,36269
9.3907e+05,24460,36472
9.3873e+05,24593,36676
9.3839e+05,24726,36882
9.3805e+05,24860,37088
9.3771e+05,24995,37296
9.3736e+05,25130,37505
9.3702e+05,25266,37715
9.3667e+05,25403,37926
9.3632e+05,25540,38138
9.3597e+05,25678,38352
9.3562e+05,25817,38566
9.3526e+05,25957,38782
9.349e+05,26097,38999
9.3455e+05,26238,39217
9.3418e+05,26379,39436
9.3382e+05,26522,39657
9.3346e+05,26665,39878
9.3309e+05,26808,40101
9.3272e+05,26953,40325
9.3235e+05,27098,40550
9.3198e+05,27244,40777
9.3161e+05,27390,41004
9.3123e+05,27537,41233
9.3085e+05,27685,41463
9.3047e+05,27834,41695
9.3009e+05,27984,41927
9.2971e+05,28134,42161
9.2932e+05,28285,42396
9.2893e+05,28437,42632
9.2854e+05,28589,42870
9.2815e+05,28742,43109
9.2775e+05,28896,43349
9.2736e+05,29051,43591
9.2696e+05,29207,43833
9.2656e+05,29363,44077
9.2616e+05,29520,44323
9.2575e+05,29678,44569
9.2535e+05,29836,44817
9.2494e+05,29995,45067
9.2453e+05,30156,45317
9.2411e+05,30316,45569
9.237e+05,30478,45822
9.2328e+05,30640,46077
9.2286e+05,30804,46333
9.2244e+05,30968,46591
9.2202e+05,31133,46849
9.2159e+05,31298,47109
9.2116e+05,31465,47371
9.2073e+05,31632,47634
9.203e+05,31800,47898
9.1987e+05,31969,48164
9.1943e+05,32138,48431
9.1899e+05,32309,48699
9.1855e+05,32480,48969
9.1811e+05,32652,49241
9.1766e+05,32825,49514
9.1721e+05,32999,49788
9.1676e+05,33173,50064
9.1631e+05,33349,50341
9.1586e+05,33525,50619
9.154e+05,33702,50900
9.1494e+05,33880,51181
9.1448e+05,34059,51464
9.1401e+05,34238,51749
9.1355e+05,34419,52035
9.1308e+05,34600,52322
9.1261e+05,34782,52612
9.1213e+05,34965,52902
9.1166e+05,35149,53194
9.1118e+05,35334,53488
9.107e+05,35519,53783
9.1021e+05,35706,54080
9.0973e+05,35893,54378
9.0924e+05,36082,54678
9.0875e+05,36271,54980
9.0826e+05,36461,55283
9.0776e+05,36652,55587
9.0726e+05,36843,55894
9.0676e+05,37036,56201
9.0626e+05,37229,56511
9.0575e+05,37424,56822
9.0525e+05,37619,57135
9.0474e+05,37816,57449
9.0422e+05,38013,57765
9.0371e+05,38211,58082
9.0319e+05,38410,58402
9.0267e+05,38610,58723
9.0214e+05,38810,59045
9.0162e+05,39012,59369
9.0109e+05,39215,59695
9.0056e+05,39418,60023
9.0002e+05,39623,60352
8.9949e+05,39828,60683
8.9895e+05,40035,61016
8.9841e+05,40242,61351
8.9786e+05,40450,61687
8.9732e+05,40659,62025
8.9677e+05,40869,62364
8.9621e+05,41080,62706
8.9566e+05,41292,63049
8.951e+05,41505,63394
8.9454e+05,41719,63741
8.9398e+05,41934,64089
8.9341e+05,42150,64440
8.9284e+05,42367,64792
8.9227e+05,42585,65146
8.9169e+05,42803,65502
8.9112e+05,43023,65859
8.9054e+05,43244,66219
8.8995e+05,43465,66580
8.8937e+05,43688,66943
8.8878e+05,43912,67308
8.8819e+05,44136,67675
8.8759e+05,44362,68044
8.87e+05,44588,68414
8.864e+05,44816,68787
8.8579e+05,45044,69161
8.8519e+05,45274,69538
8.8458e+05,45504,69916
8.8397e+05,45736,70296
8.8335e+05,45969,70678
8.8274e+05,46202,71062
8.8212e+05,46437,71448
8.8149e+05,46672,71836
8.8087e+05,46909,72226
8.8024e+05,47146,72618
8.796e+05,47385,73012
8.7897e+05,47625,73408
8.7833e+05,47865,73806
8.7769e+05,48107,74206
8.7704e+05,48350,74607
8.764e+05,48593,75011
8.7574e+05,48838,75417
8.7509e+05,49084,75825
8.7443e+05,49331,76235
8.7377e+05,49579,76648
8.7311e+05,49828,77062
8.7244e+05,50078,77478
8.7178e+05,50329,77896
8.711e+05,50581,78317
8.7043e+05,50834,78739
8.6975e+05,51088,79164
8.6907e+05,51343,79591
8.6838e+05,51599,80020
8.6769e+05,51857,80451
8.67e+05,52115,80884
8.6631e+05,52374,81319
8.6561e+05,52635,81757
8.6491e+05,52897,82197
8.642e+05,53159,82639
8.6349e+05,53423,83083
8.6278e+05,53688,83529
8.6207e+05,53953,83977
8.6135e+05,54220,84428
8.6063e+05,54488,84881
8.5991e+05,54757,85336
8.5918e+05,55027,85794
8.5845e+05,55299,86253
8.5771e+05,55571,86715
8.5698e+05,55844,87180
8.5624e+05,56119,87646
8.5549e+05,56394,88115
8.5474e+05,56671,88586
8.5399e+05,56948,89059
8.5324e+05,57227,89535
8.5248e+05,57507,90013
8.5172e+05,57788,90494
8.5095e+05,58070,90976
8.5019e+05,58353,91461
8.4941e+05,58638,91949
8.4864e+05,58923,92439
8.4786e+05,59209,92931
8.4708e+05,59497,93426
8.4629e+05,59785,93923
8.455e+05,60075,94422
8.4471e+05,60366,94924
8.4391e+05,60658,95428
8.4311e+05,60951,95935
8.4231e+05,61245,96444
8.415e+05,61540,96956
8.4069e+05,61837,97470
8.3988e+05,62134,97986
8.3906e+05,62433,98505
8.3824e+05,62732,99027
8.3742e+05,63033,99551
8.3659e+05,63335,1.0008e+05
8.3576e+05,63638,1.0061e+05
8.3492e+05,63942,1.0114e+05
8.3408e+05,64247,1.0167e+05
8.3324e+05,64553,1.0221e+05
8.3239e+05,64861,1.0275e+05
8.3154e+05,65169,1.0329e+05
8.3069e+05,65479,1.0383e+05
8.2983e+05,65790,1.0438e+05
8.2897e+05,66101,1.0493e+05
8.281e+05,66414,1.0548e+05
8.2723e+05,66728,1.0604e+05
8.2636e+05,67044,1.0659e+05
8.2549e+05,67360,1.0715e+05
8.2461e+05,67677,1.0772e+05
8.2372e+05,67996,1.0828e+05
8.2283e+05,68315,1.0885e+05
8.2194e+05,68636,1.0942e+05
8.2105e+05,68958,1.0999e+05
8.2015e+05,69281,1.1057e+05
8.1925e+05,69605,1.1115e+05
8.1834e+05,69930,1.1173e+05
8.1743e+05,70256,1.1231e+05
8.1651e+05,70583,1.129e+05
8.156e+05,70912,1.1349e+05
8.1467e+05,71241,1.1408e+05
8.1375e+05,71572,1.1468e+05
8.1282e+05,71904,1.1528e+05
8.1189e+05,72237,1.1588e+05
8.1095e+05,72571,1.1648e+05
8.1001e+05,72906,1.1709e+05
8.0906e+05,73242,1.177e+05
8.0811e+05,73579,1.1831e+05
8.0716e+05,73917,1.1892e+05
8.062e+05,74257,1.1954e+05
8.0524e+05,74597,1.2016e+05
8.0428e+05,74939,1.2078e+05
8.0331e+05,75281,1.2141e+05
8.0234e+05,75625,1.2204e+05
8.0136e+05,75970,1.2267e+05
8.0038e+05,76316,1.233e+05
7.994e+05,76663,1.2394e+05
7.9841e+05,77011,1.2458e+05
7.9742e+05,77360,1.2522e+05
7.9642e+05,77710,1.2587e+05
7.9542e+05,78062,1.2652e+05
7.9441e+05,78414,1.2717e+05
7.9341e+05,78768,1.2783e+05
7.9239e+05,79122,1.2848e+05
7.9138e+05,79478,1.2915e+05
7.9036e+05,79834,1.2981e+05
7.8933e+05,80192,1.3048e+05
7.883e+05,80551,1.3115e+05
7.8727e+05,80910,1.3182e+05
7.8623e+05,81271,1.3249e+05
7.8519e+05,81633,1.3317e+05
7.8415e+05,81996,1.3385e+05
7.831e+05,82360,1.3454e+05
7.8205e+05,82725,1.3523e+05
7.8099e+05,83091,1.3592e+05
7.7993e+05,83458,1.3661e+05
7.7886e+05,83826,1.3731e+05
7.778e+05,84195,1.3801e+05
7.7672e+05,84565,1.3871e+05
7.7564e+05,84936,1.3942e+05
7.7456e+05,85309,1.4013e+05
7.7348e+05,85682,1.4084e+05
7.7239e+05,86056,1.4156e+05
7.7129e+05,86431,1.4227e+05
7.702e+05,86807,1.43e+05
7.6909e+05,87184,1.4372e+05
7.6799e+05,87563,1.4445e+05
7.6688e+05,87942,1.4518e+05
7.6576e+05,88322,1.4592e+05
7.6464e+05,88703,1.4665e+05
7.6352e+05,89085,1.4739e+05
7.6239e+05,89468,1.4814e+05
7.6126e+05,89852,1.4888e+05
7.6013e+05,90237,1.4964e+05
7.5899e+05,90623,1.5039e+05
7.5785e+05,91009,1.5115e+05
7.567e+05,91397,1.5191e+05
7.5555e+05,91786,1.5267e+05
7.5439e+05,92176,1.5344e+05
7.5323e+05,92566,1.5421e+05
7.5206e+05,92958,1.5498e+05
7.509e+05,93350,1.5575e+05
7.4972e+05,93743,1.5653e+05
7.4855e+05,94137,1.5732e+05
7.4736e+05,94532,1.581e+05
7.4618e+05,94928,1.5889e+05
7.4499e+05,95325,1.5969e+05
7.438e+05,95723,1.6048e+05
7.426e+05,96122,1.6128e+05
7.414e+05,96521,1.6208e+05
7.4019e+05,96921,1.6289e+05
7.3898e+05,97323,1.637e+05
7.3776e+05,97725,1.6451e+05
7.3655e+05,98127,1.6533e+05
7.3532e+05,98531,1.6615e+05
7.341e+05,98936,1.6697e+05
7.3286e+05,99341,1.678e+05
7.3163e+05,99747,1.6863e+05
7.3039e+05,1.0015e+05,1.6946e+05
7.2914e+05,1.0056e+05,1.7029e+05
7.279e+05,1.0097e+05,1.7113e+05
7.2664e+05,1.0138e+05,1.7198e+05
7.2539e+05,1.0179e+05,1.7282e+05
7.2413e+05,1.022e+05,1.7367e+05
7.2286e+05,1.0261e+05,1.7453e+05
7.2159e+05,1.0302e+05,1.7538e+05
7.2032e+05,1.0344e+05,1.7624e+05
7.1904e+05,1.0385e+05,1.7711e+05
7.1776e+05,1.0427e+05,1.7797e+05
7.1647e+05,1.0468e+05,1.7885e+05
7.1518e+05,1.051e+05,1.7972e+05
7.1389e+05,1.0551e+05,1.806e+05
7.1259e+05,1.0593e+05,1.8148e+05
7.1129e+05,1.0635e+05,1.8236e+05
7.0998e+05,1.0677e+05,1.8325e+05
7.0867e+05,1.0719e+05,1.8414e+05
7.0736e+05,1.0761e+05,1.8504e+05
7.0604e+05,1.0803e+05,1.8594e+05
7.0471e+05,1.0845e+05,1.8684e+05
7.0339e+05,1.0887e+05,1.8774e+05
7.0206e+05,1.0929e+05,1.8865e+05
7.0072e+05,1.0972e+05,1.8956e+05
6.9938e+05,1.1014e+05,1.9048e+05
6.9804e+05,1.1056e+05,1.914e+05
6.9669e+05,1.1099e+05,1.9232e+05
6.9534e+05,1.1141e+05,1.9325e+05
6.9398e+05,1.1184e+05,1.9418e+05
6.9262e+05,1.1227e+05,1.9511e+05
6.9126e+05,1.1269e+05,1.9605e+05
6.8989e+05,1.1312e+05,1.9699e+05
6.8852e+05,1.1355e+05,1.9794e+05
6.8714e+05,1.1398e+05,1.9888e+05
6.8576e+05,1.144e+05,1.9984e+05
6.8437e+05,1.1483e+05,2.0079e+05
6.8299e+05,1.1526e+05,2.0175e+05
6.8159e+05,1.1569e+05,2.0271e+05
6.802e+05,1.1613e+05,2.0368e+05
6.788e+05,1.1656e+05,2.0465e+05
6.7739e+05,1.1699e+05,2.0562e+05
6.7598e+05,1.1742e+05,2.066e+05
6.7457e+05,1.1785e+05,2.0758e+05
6.7315e+05,1.1828e+05,2.0856e+05
6.7173e+05,1.1872e+05,2.0955e+05
6.7031e+05,1.1915e+05,2.1054e+05
6.6888e+05,1.1959e+05,2.1154e+05
6.6745e+05,1.2002e+05,2.1253e+05
6.6601e+05,1.2045e+05,2.1354e+05
6.6457e+05,1.2089e+05,2.1454e+05
6.6313e+05,1.2132e+05,2.1555e+05
6.6168e+05,1.2176e+05,2.1656e+05
6.6023e+05,1.2219e+05,2.1758e+05
6.5877e+05,1.2263e+05,2.186e+05
6.5731e+05,1.2307e+05,2.1962e+05
6.5585e+05,1.235e+05,2.2065e+05
6.5438e+05,1.2394e+05,2.2168e+05
6.5291e+05,1.2438e+05,2.2272e+05
6.5143e+05,1.2481e+05,2.2375e+05
6.4995e+05,1.2525e+05,2.248e+05
6.4847e+05,1.2569e+05,2.2584e+05
6.4699e+05,1.2612e+05,2.2689e+05
6.455e+05,1.2656e+05,2.2794e+05
6.44e+05,1.27e+05,2.29e+05
6.425e+05,1.2744e+05,2.3006e+05
6.41e+05,1.2787e+05,2.3112e+05
6.395e+05,1.2831e+05,2.3219e+05
6.3799e+05,1.2875e+05,2.3326e+05
6.3648e+05,1.2919e+05,2.3434e+05
6.3496e+05,1.2962e+05,2.3542e+05
6.3344e+05,1.3006e+05,2.365e+05
6.3192e+05,1.305e+05,2.3758e+05
6.3039e+05,1.3094e+05,2.3867e+05
6.2886e+05,1.3137e+05,2.3977e+05
6.2733e+05,1.3181e+05,2.4086e+05
6.2579e+05,1.3225e+05,2.4196e+05
6.2425e+05,1.3269e+05,2.4307e+05
6.227e+05,1.3312e+05,2.4417e+05
6.2115e+05,1.3356e+05,2.4529e+05
6.196e+05,1.34e+05,2.464e+05
6.1805e+05,1.3443e+05,2.4752e+05
6.1649e+05,1.3487e+05,2.4864e+05
6.1493e+05,1.3531e+05,2.4977e+05
6.1336e+05,1.3574e+05,2.509e+05
6.1179e+05,1.3618e+05,2.5203e+05
6.1022e+05,1.3661e+05,2.5317e+05
6.0864e+05,1.3705e+05,2.5431e+05
6.0706e+05,1.3749e+05,2.5545e+05
6.0548e+05,1.3792e+05,2.566e+05
6.039e+05,1.3835e+05,2.5775e+05
6.0231e+05,1.3879e+05,2.589e+05
6.0072e+05,1.3922e+05,2.6006e+05
5.9912e+05,1.3966e+05,2.6122e+05
5.9752e+05,1.4009e+05,2.6239e+05
5.9592e+05,1.4052e+05,2.6356e+05
5.9431e+05,1.4095e+05,2.6473e+05
5.9271e+05,1.4139e+05,2.6591e+05
5.911e+05,1.4182e+05,2.6709e+05
5.8948e+05,1.4225e+05,2.6827e+05
5.8786e+05,1.4268e+05,2.6946e+05
5.8624e+05,1.4311e+05,2.7065e+05
5.8462e+05,1.4354e+05,2.7184e+05
5.8299e+05,1.4396e+05,2.7304e+05
5.8136e+05,1.4439e+05,2.7424e+05
5.7973e+05,1.4482e+05,2.7545e+05
5.781e+05,1.4525e+05,2.7666e+05
5.7646e+05,1.4567e+05,2.7787e+05
5.7482e+05,1.461e+05,2.7908e+05
5.7317e+05,1.4652e+05,2.803e+05
5.7153e+05,1.4695e+05,2.8153e+05
5.6988e+05,1.4737e+05,2.8275e+05
5.6822e+05,1.4779e+05,2.8398e+05
5.6657e+05,1.4821e+05,2.8522e+05
5.6491e+05,1.4864e+05,2.8645e+05
5.6325e+05,1.4906e+05,2.8769e+05
5.6159e+05,1.4948e+05,2.8894e+05
5.5992e+05,1.4989e+05,2.9018e+05
5.5825e+05,1.5031e+05,2.9144e+05
5.5658e+05,1.5073e+05,2.9269e+05
5.5491e+05,1.5114e+05,2.9395e+05
5.5323e+05,1.5156e+05,2.9521e+05
5.5155e+05,1.5197e+05,2.9647e+05
5.4987e+05,1.5239e+05,2.9774e+05
5.4819e+05,1.528e+05,2.9901e+05
5.465e+05,1.5321e+05,3.0029e+05
5.4481e+05,1.5362e+05,3.0157e+05
5.4312e+05,1.5403e+05,3.0285e+05
5.4143e+05,1.5444e+05,3.0413e+05
5.3973e+05,1.5484e+05,3.0542e+05
5.3804e+05,1.5525e+05,3.0672e+05
5.3634e+05,1.5565e+05,3.0801e+05
5.3463e+05,1.5606e+05,3.0931e+05
5.3293e+05,1.5646e+05,3.1061e+05
5.3122e+05,1.5686e+05,3.1192e+05
5.2951e+05,1.5726e+05,3.1323e+05
5.278e+05,1.5766e+05,3.1454e+05
5.2609e+05,1.5806e+05,3.1585e+05
5.2438e+05,1.5845e+05,3.1717e+05
5.2266e+05,1.5885e+05,3.1849e+05
5.2094e+05,1.5924e+05,3.1982e+05
5.1922e+05,1.5963e+05,3.2115e+05
5.175e+05,1.6002e+05,3.2248e+05
5.1577e+05,1.6041e+05,3.2382e+05
5.1405e+05,1.608e+05,3.2515e+05
5.1232e+05,1.6119e+05,3.265e+05
5.1059e+05,1.6157e+05,3.2784e+05
5.0886e+05,1.6195e+05,3.2919e+05
5.0712e+05,1.6234e+05,3.3054e+05
5.0539e+05,1.6272e+05,3.3189e+05
5.0365e+05,1.631e+05,3.3325e+05
5.0191e+05,1.6347e+05,3.3461e+05
5.0018e+05,1.6385e+05,3.3598e+05
4.9843e+05,1.6422e+05,3.3734e+05
4.9669e+05,1.646e+05,3.3871e+05
4.9495e+05,1.6497e+05,3.4009e+05
4.932e+05,1.6534e+05,3.4146e+05
4.9146e+05,1.657e+05,3.4284e+05
4.8971e+05,1.6607e+05,3.4422e+05
4.8796e+05,1.6643e+05,3.4561e+05
4.8621e+05,1.6679e+05,3.47e+05
4.8446e+05,1.6715e+05,3.4839e+05
4.827e+05,1.6751e+05,3.4978e+05
4.8095e+05,1.6787e+05,3.5118e+05
4.7919e+05,1.6822e+05,3.5258e+05
4.7744e+05,1.6858e+05,3.5399e+05
4.7568e+05,1.6893e+05,3.5539e+05
4.7392e+05,1.6928e+05,3.568e+05
4.7216e+05,1.6962e+05,3.5821e+05
4.704e+05,1.6997e+05,3.5963e+05
4.6864e+05,1.7031e+05,3.6105e+05
4.6688e+05,1.7065e+05,3.6247e+05
4.6512e+05,1.7099e+05,3.6389e+05
4.6335e+05,1.7133e+05,3.6532e+05
4.6159e+05,1.7166e+05,3.6675e+05
4.5983e+05,1.72e+05,3.6818e+05
4.5806e+05,1.7233e+05,3.6961e+05
4.5629e+05,1.7266e+05,3.7105e+05
4.5453e+05,1.7298e+05,3.7249e+05
4.5276e+05,1.7331e+05,3.7393e+05
4.5099e+05,1.7363e+05,3.7538e+05
4.4923e+05,1.7395e+05,3.7683e+05
4.4746e+05,1.7427e+05,3.7828e+05
4.4569e+05,1.7458e+05,3.7973e+05
4.4392e+05,1.7489e+05,3.8119e+05
4.4215e+05,1.752e+05,3.8265e+05
4.4038e+05,1.7551e+05,3.8411e+05
4.3861e+05,1.7582e+05,3.8557e+05
4.3684e+05,1.7612e+05,3.8704e+05
4.3507e+05,1.7642e+05,3.8851e+05
4.333e+05,1.7672e+05,3.8998e+05
4.3153e+05,1.7702e+05,3.9145e+05
4.2976e+05,1.7731e+05,3.9293e+05
4.2799e+05,1.776e+05,3.9441e+05
4.2622e+05,1.7789e+05,3.9589e+05
4.2445e+05,1.7818e+05,3.9737e+05
4.2268e+05,1.7846e+05,3.9886e+05
4.2091e+05,1.7874e+05,4.0035e+05
4.1914e+05,1.7902e+05,4.0184e+05
4.1738e+05,1.793e+05,4.0333e+05
4.1561e+05,1.7957e+05,4.0482e+05
4.1384e+05,1.7984e+05,4.0632e+05
4.1207e+05,1.8011e+05,4.0782e+05
4.103e+05,1.8037e+05,4.0932e+05
4.0854e+05,1.8063e+05,4.1083e+05
4.0677e+05,1.8089e+05,4.1233e+05
4.0501e+05,1.8115e+05,4.1384e+05
4.0324e+05,1.814e+05,4.1535e+05
4.0148e+05,1.8165e+05,4.1687e+05
3.9972e+05,1.819e+05,4.1838e+05
3.9795e+05,1.8215e+05,4.199e+05
3.9619e+05,1.8239e+05,4.2142e+05
3.9443e+05,1.8263e+05,4.2294e+05
3.9267e+05,1.8287e+05,4.2446e+05
3.9091e+05,1.831e+05,4.2599e+05
3.8915e+05,1.8333e+05,4.2751e+05
3.874e+05,1.8356e+05,4.2904e+05
3.8564e+05,1.8379e+05,4.3057e+05
3.8389e+05,1.8401e+05,4.321e+05
3.8213e+05,1.8423e+05,4.3364e+05
3.8038e+05,1.8444e+05,4.3517e+05
3.7863e+05,1.8466e+05,4.3671e+05
3.7688e+05,1.8487e+05,4.3825e+05
3.7513e+05,1.8507e+05,4.3979e+05
3.7339e+05,1.8528e+05,4.4134e+05
3.7164e+05,1.8548e+05,4.4288e+05
3.699e+05,1.8567e+05,4.4443e+05
3.6816e+05,1.8587e+05,4.4598e+05
3.6641e+05,1.8606e+05,4.4753e+05
3.6468e+05,1.8625e+05,4.4908e+05
3.6294e+05,1.8643e+05,4.5063e+05
3.612e+05,1.8661e+05,4.5218e+05
3.5947e+05,1.8679e+05,4.5374e+05
3.5774e+05,1.8697e+05,4.553e+05
3.5601e+05,1.8714e+05,4.5686e+05
3.5428e+05,1.8731e+05,4.5842e+05
3.5255e+05,1.8747e+05,4.5998e+05
3.5083e+05,1.8763e+05,4.6154e+05
3.491e+05,1.8779e+05,4.6311e+05
3.4738e+05,1.8795e+05,4.6467e+05
3.4566e+05,1.881e+05,4.6624e+05
3.4395e+05,1.8825e+05,4.6781e+05
3.4223e+05,1.8839e+05,4.6938e+05
3.4052e+05,1.8853e+05,4.7095e+05
3.3881e+05,1.8867e+05,4.7252e+05
3.371e+05,1.8881e+05,4.7409e+05
3.354e+05,1.8894e+05,4.7566e+05
3.3369e+05,1.8907e+05,4.7724e+05
3.3199e+05,1.8919e+05,4.7882e+05
3.303e+05,1.8931e+05,4.8039e+05
3.286e+05,1.8943e+05,4.8197e+05
3.2691e+05,1.8954e+05,4.8355e+05
3.2522e+05,1.8965e+05,4.8513e+05
3.2353e+05,1.8976e+05,4.8671e+05
3.2184e+05,1.8986e+05,4.8829e+05
3.2016e+05,1.8996e+05,4.8987e+05
3.1848e+05,1.9006e+05,4.9146e+05
3.168e+05,1.9015e+05,4.9304e+05
3.1513e+05,1.9024e+05,4.9463e+05
3.1346e+05,1.9033e+05,4.9621e+05
3.1179e+05,1.9041e+05,4.978e+05
3.1012e+05,1.9049e+05,4.9939e+05
3.0846e+05,1.9056e+05,5.0097e+05
3.068e+05,1.9063e+05,5.0256e+05
3.0515e+05,1.907e+05,5.0415e+05
3.0349e+05,1.9077e+05,5.0574e+05
3.0184e+05,1.9083e+05,5.0733e+05
3.002e+05,1.9088e+05,5.0892e+05
2.9855e+05,1.9094e+05,5.1051e+05
2.9691e+05,1.9098e+05,5.121e+05
2.9527e+05,1.9103e+05,5.137e+05
2.9364e+05,1.9107e+05,5.1529e+05
2.9201e+05,1.9111e+05,5.1688e+05
2.9038e+05,1.9114e+05,5.1847e+05
2.8876e+05,1.9117e+05,5.2007e+05
2.8714e+05,1.912e+05,5.2166e+05
2.8552e+05,1.9122e+05,5.2325e+05
2.8391e+05,1.9124e+05,5.2485e+05
2.823e+05,1.9126e+05,5.2644e+05
2.8069e+05,1.9127e+05,5.2803e+05
2.7909e+05,1.9128e+05,5.2963e+05
2.7749e+05,1.9128e+05,5.3122e+05
2.759e+05,1.9129e+05,5.3282e+05
2.7431e+05,1.9128e+05,5.3441e+05
2.7272e+05,1.9128e+05,5.36e+05
2.7114e+05,1.9126e+05,5.376e+05
2.6956e+05,1.9125e+05,5.3919e+05
2.6798e+05,1.9123e+05,5.4079e+05
2.6641e+05,1.9121e+05,5.4238e+05
2.6484e+05,1.9118e+05,5.4397e+05
2.6328e+05,1.9116e+05,5.4557e+05
2.6172e+05,1.9112e+05,5.4716e+05
2.6016e+05,1.9108e+05,5.4875e+05
2.5861e+05,1.9104e+05,5.5034e+05
2.5707e+05,1.91e+05,5.5193e+05
2.5552e+05,1.9095e+05,5.5353e+05
2.5398e+05,1.909e+05,5.5512e+05
2.5245e+05,1.9084e+05,5.5671e+05
2.5092e+05,1.9078e+05,5.583e+05
2.4939e+05,1.9072e+05,5.5989e+05
2.4787e+05,1.9065e+05,5.6148e+05
2.4635e+05,1.9058e+05,5.6306e+05
2.4484e+05,1.9051e+05,5.6465e+05
2.4333e+05,1.9043e+05,5.6624e+05
2.4183e+05,1.9035e+05,5.6783e+05
2.4033e+05,1.9026e+05,5.6941e+05
2.3883e+05,1.9017e+05,5.71e+05
2.3734e+05,1.9008e+05,5.7258e+05
2.3586e+05,1.8998e+05,5.7417e+05
2.3438e+05,1.8988e+05,5.7575e+05
2.329e+05,1.8977e+05,5.7733e+05
2.3143e+05,1.8966e+05,5.7891e+05
2.2996e+05,1.8955e+05,5.8049e+05
2.285e+05,1.8943e+05,5.8207e+05
2.2704e+05,1.8931e+05,5.8365e+05
2.2559e+05,1.8919e+05,5.8523e+05
2.2414e+05,1.8906e+05,5.868e+05
2.2269e+05,1.8893e+05,5.8838e+05
2.2125e+05,1.888e+05,5.8995e+05
2.1982e+05,1.8866e+05,5.9152e+05
2.1839e+05,1.8851e+05,5.9309e+05
2.1697e+05,1.8837e+05,5.9466e+05
2.1555e+05,1.8822e+05,5.9623e+05
2.1413e+05,1.8806e+05,5.978e+05
2.1272e+05,1.8791e+05,5.9937e+05
2.1132e+05,1.8775e+05,6.0093e+05
2.0992e+05,1.8758e+05,6.025e+05
2.0853e+05,1.8741e+05,6.0406e+05
2.0714e+05,1.8724e+05,6.0562e+05
2.0575e+05,1.8707e+05,6.0718e+05
2.0437e+05,1.8689e+05,6.0874e+05
2.03e+05,1.8671e+05,6.103e+05
2.0163e+05,1.8652e+05,6.1185e+05
2.0027e+05,1.8633e+05,6.134e+05
1.9891e+05,1.8614e+05,6.1496e+05
1.9756e+05,1.8594e+05,6.1651e+05
1.9621e+05,1.8574e+05,6.1805e+05
1.9486e+05,1.8553e+05,6.196e+05
1.9353e+05,1.8533e+05,6.2115e+05
1.9219e+05,1.8511e+05,6.2269e+05
1.9087e+05,1.849e+05,6.2423e+05
1.8955e+05,1.8468e+05,6.2577e+05
1.8823e+05,1.8446e+05,6.2731e+05
1.8692e+05,1.8423e+05,6.2885e+05
1.8561e+05,1.8401e+05,6.3038e+05
1.8431e+05,1.8377e+05,6.3191e+05
1.8302e+05,1.8354e+05,6.3344e+05
1.8173e+05,1.833e+05,6.3497e+05
1.8044e+05,1.8306e+05,6.365e+05
1.7917e+05,1.8281e+05,6.3802e+05
1.7789e+05,1.8256e+05,6.3955e+05
1.7663e+05,1.8231e+05,6.4107e+05
1.7536e+05,1.8205e+05,6.4258e+05
1.7411e+05,1.8179e+05,6.441e+05
1.7286e+05,1.8153e+05,6.4561e+05
1.7161e+05,1.8127e+05,6.4713e+05
1.7037e+05,1.81e+05,6.4864e+05
1.6913e+05,1.8072e+05,6.5014e+05
1.6791e+05,1.8045e+05,6.5165e+05
1.6668e+05,1.8017e+05,6.5315e+05
1.6546e+05,1.7989e+05,6.5465e+05
1.6425e+05,1.796e+05,6.5615e+05
1.6304e+05,1.7931e+05,6.5764e+05
1.6184e+05,1.7902e+05,6.5914e+05
1.6065e+05,1.7873e+05,6.6063e+05
1.5946e+05,1.7843e+05,6.6212e+05
1.5827e+05,1.7813e+05,6.636e+05
1.5709e+05,1.7782e+05,6.6508e+05
1.5592e+05,1.7752e+05,6.6656e+05
1.5475e+05,1.7721e+05,6.6804e+05
1.5359e+05,1.7689e+05,6.6952e+05
1.5243e+05,1.7658e+05,6.7099e+05
1.5128e+05,1.7626e+05,6.7246e+05
1.5014e+05,1.7593e+05,6.7393e+05
1.49e+05,1.7561e+05,6.7539e+05
1.4786e+05,1.7528e+05,6.7686e+05
1.4674e+05,1.7495e+05,6.7831e+05
1.4561e+05,1.7461e+05,6.7977e+05
